reference_split,comparison_split,feature,channel,statistic,reference_mean,comparison_mean,standardized_mean_difference,population_stability_index,jensen_shannon_divergence,model_importance,importance_weighted_smd
train,validation,b04_2018__max,b04_2018,max,0.16075573861598969,0.1649324744939804,0.18099695444107056,0.16500102409542883,0.02900632240150683,0.0418343353256524,0.007571887285009576
train,validation,ndvi_diff__mean,ndvi_diff,mean,0.017610348761081696,0.01856122352182865,0.279396116733551,0.8113858843046448,0.13550894138823621,0.023582970320348,0.006588990328547819
train,validation,b02_2018__std,b02_2018,std,0.040909405797719955,0.04489268735051155,0.5006586313247681,0.3525041078676661,0.06208235433413438,0.0115374963776506,0.005776347145349019
train,validation,b02_2022__max,b02_2022,max,0.5353667736053467,0.5424602627754211,0.12320630997419357,0.14520183221008123,0.025799512162101162,0.0425877849845238,0.005247083837917546
train,validation,ndvi_2018__std,ndvi_2018,std,0.005797042511403561,0.006261027418076992,0.3863559067249298,0.21342013221226247,0.03789086389673038,0.0125567744158143,0.004851383964962335
train,validation,ndvi_diff__p10,ndvi_diff,p10,0.014033191837370396,0.014756663702428341,0.2116057574748993,1.781873868656066,0.2640578649932027,0.0221344660814631,0.0046837804614704645
train,validation,b04_2018__std,b04_2018,std,0.007199909072369337,0.0077544390223920345,0.13895125687122345,0.25238476105408747,0.04480858239540957,0.0307895883411741,0.004278251998553709
train,validation,ndvi_diff__p25,ndvi_diff,p25,0.01565190590918064,0.01643206551671028,0.23188947141170502,1.4821971204628759,0.2370134168684015,0.0184108436128694,0.004269280793631851
train,validation,ndvi_diff__median,ndvi_diff,median,0.01745479367673397,0.01833201013505459,0.2629776895046234,0.9652559070038529,0.15976949222782627,0.016049827179531,0.0042207464686215695
train,validation,ndvi_diff__std,ndvi_diff,std,0.0029857917688786983,0.0032597824465483427,0.4294881522655487,0.3429874692110708,0.05954194166805617,0.0095992758170079,0.004122775233734088
train,validation,b04_2022__max,b04_2022,max,0.6244866847991943,0.6262804865837097,0.0637550801038742,0.14028248032211674,0.02498929464414985,0.0618876818803277,0.003945654115723377
train,validation,ndvi_2022__p25,ndvi_2022,p25,0.016553228721022606,0.016896402463316917,0.19087794423103333,1.2103601232747812,0.18753871358978708,0.0202587823901525,0.003866954735256169
train,validation,b02_2018__max,b02_2018,max,0.4007169306278229,0.4219452738761902,0.4444514811038971,0.25640307278431995,0.045485601077220134,0.0083432569633203,0.0037081729145781103
train,validation,ndvi_2018__p90,ndvi_2018,p90,0.04116128385066986,0.04292658343911171,0.42475852370262146,0.365951861914796,0.060103213644308845,0.0086303546731929,0.0036658167100154363
train,validation,ndvi_diff__p75,ndvi_diff,p75,0.01935635507106781,0.02038460224866867,0.3042682111263275,0.5642555550755214,0.09272187320305823,0.0116445638184931,0.003543070602399253
train,validation,b08_2022__min,b08_2022,min,-0.5473666191101074,-0.5676792860031128,0.24107111990451813,0.16140237755110964,0.028284298757968212,0.0143123534735659,0.0034502950803418516
train,validation,b04_2022__std,b04_2022,std,0.04667459428310394,0.05095275864005089,0.2116859257221222,0.2196252094695812,0.03895592824851159,0.0158311922344008,0.003351240583424006
train,validation,b04_2022__min,b04_2022,min,0.32357046008110046,0.2982112765312195,0.2787591516971588,0.19825412404846388,0.035243223700797376,0.0108519889925266,0.00302509124578362
train,validation,b02_2018__p90,b02_2018,p90,0.31739872694015503,0.327357679605484,0.43899622559547424,0.21481417505063835,0.03813447996969968,0.0066166582308347,0.0029046879893916615
train,validation,ndvi_2018__p75,ndvi_2018,p75,0.037646643817424774,0.03908441588282585,0.40046870708465576,0.4279018393336441,0.06717796159226322,0.0072058705514366,0.0028857256631532107
train,validation,ndvi_2022__mean,ndvi_2022,mean,0.018864916637539864,0.019379347562789917,0.26819556951522827,0.5748853978097922,0.09133492852887878,0.0101347997438389,0.0027181083892216635
train,validation,b02_2022__min,b02_2022,min,0.22533786296844482,0.21371369063854218,0.37588807940483093,0.1881411720261043,0.033563955910802794,0.0072254377898841,0.002715955933698621
train,validation,ndvi_2022__median,ndvi_2022,median,0.01858179271221161,0.019035235047340393,0.251334547996521,0.7151686157587053,0.11300681592055267,0.0102486750195918,0.0025758461036123406
train,validation,b08_2022__std,b08_2022,std,0.048682939261198044,0.05241856724023819,0.1942591518163681,0.18495318310187947,0.03294511012164489,0.0122501373356818,0.0023797012884635696
train,validation,b08_2022__p90,b08_2022,p90,-0.29822054505348206,-0.29663610458374023,0.0620366670191288,0.4593229404515847,0.07938904176430336,0.0379561648569577,0.002354673960554243
